"","aegopodiids","airid","ajugids","androsaceids","aparinids","arabids","arrhenaterid","asperulids","bellid","bryonids","convolvulid","cornids","eleocharid","empetrid","epipactids","equisylvatids","eranthids","fagids","fragariids","gypsophilids","hederids","hierochloids","illecebrids","junceffusids","linariid","loiseleureid","minuartid","moliniid","mugids","myrtillids","nardid","oxalids","piceids","polygonatids","primulids","quercids","ranunculids","rosids","sambucids","sarothamnid","thymids","tiliids","trientalids","trisetid","verbascids"
"260",0,0,0.000611620795107034,0,0.036697247706422,0.000611620795107034,0.036697247706422,0.122324159021407,0.00795107033639144,0.00611620795107034,0,0,0,0.00672782874617737,0,0,0,0,0,0.0373088685015291,0,0,0,0,0.000611620795107034,0,0.036697247706422,0.128440366972477,0,0,0.122324159021407,0,0,0,0,0,0.0801223241590214,0,0,0,0.159021406727829,0.000611620795107034,0,0.129051987767584,0.0880733944954128
"261",0,0,0.119806488332385,0,0,0,0.0170745589072282,0.00284575981787137,0.0202048947068867,0,0,0,0,0,0,0,0,0,0.0170745589072282,0.00569151963574274,0,0,0.0170745589072282,0,0.0202048947068867,0,0,0.113830392714855,0,0.0170745589072282,0.233352305065452,0.0170745589072282,0,0,0.221969265793967,0,0.0939100739897553,0,0,0,0.0170745589072282,0,0,0.0401252134319863,0.0256118383608423
"262",0,0,0,0,0.00790513833992095,0.000790513833992095,0.00790513833992095,0,0.0474308300395257,0,0,0,0,0,0,0,0,0,0.213438735177866,0.00158102766798419,0,0,0,0,0,0,0.00790513833992095,0.316205533596838,0,0,0.0632411067193676,0,0,0,0.0553359683794466,0,0.00869565217391304,0,0,0,0.0474308300395257,0,0,0.205533596837945,0.016600790513834
"263",0.129611166500499,0,0.00498504486540379,0,0.00498504486540379,0.00997008973080758,0.134596211365902,0.0997008973080758,0.00498504486540379,0.00498504486540379,0,0,0,0,0,0,0,0,0,0.0353938185443669,0,0,0,0,0.00548354935194417,0,0.00498504486540379,0.0299102691924227,0,0,0.0353938185443669,0,0,0,0.00498504486540379,0,0.0707876370887338,0,0,0,0.00997008973080758,0,0.000498504486540379,0.214356929212363,0.194416749750748
"264",0.0103359173126615,0,0.00516795865633075,0.000516795865633075,0.0155038759689922,0.0222222222222222,0.104909560723514,0.0372093023255814,0,0.00103359173126615,0,0.00103359173126615,0.000516795865633075,0.00516795865633075,0.00671834625322997,0,0,0.000516795865633075,0.000516795865633075,0.068733850129199,0,0,0,0,0.00103359173126615,0.000516795865633075,0.00516795865633075,0.134883720930233,0,0,0.0062015503875969,0,0.000516795865633075,0.00516795865633075,0.0175710594315245,0,0.394832041343669,0.000516795865633075,0,0,0.048062015503876,0.000516795865633075,0.00516795865633075,0.0733850129198966,0.0263565891472868
"265",0.000357270453733476,0,0.0471596998928189,0,0.000357270453733476,0.00392997499106824,0.0932475884244373,0.007502679528403,0.00392997499106824,0.0253662022150768,0,0,0,0,0.000357270453733476,0.0214362272240086,0.000714540907466953,0,0.00392997499106824,0.000357270453733476,0,0.0928903179707038,0.0214362272240086,0.0714540907466953,0.0292961772061451,0,0,0.121471954269382,0,0,0.0725259021078957,0,0,0,0.0739549839228296,0,0.133261879242587,0,0,0,0.00428724544480171,0.000357270453733476,0,0.122543765630582,0.0478742408002858
"266",0,0,0,0,0,0,0.0443037974683544,0.00632911392405063,0,0.00632911392405063,0,0,0,0,0,0,0,0,0.0126582278481013,0,0,0,0.0379746835443038,0,0.164556962025316,0,0,0.0379746835443038,0,0,0,0,0,0,0.474683544303797,0,0.208860759493671,0,0,0,0,0,0,0,0.00632911392405063
"267",0.000358937544867193,0,0.000358937544867193,0,0,0,0.541995692749462,0.0717875089734386,0,0.000358937544867193,0,0,0,0,0,0,0,0,0.0215362526920316,0,0,0,0.000358937544867193,0,0,0,0,0,0,0,0.000358937544867193,0,0.000358937544867193,0,0,0,0.0789662598707825,0,0,0,0,0,0,0.215362526920316,0.0681981335247667
"268",0.000631313131313131,0,0,0,0.0189393939393939,0,0.189709595959596,0.0631313131313131,0,0.000315656565656566,0,0,0,0,0,0,0,0,0.000315656565656566,0,0,0,0.0631313131313131,0,0,0,0,0.192550505050505,0,0,0.00315656565656566,0,0,0,0.0192550505050505,0,0.208964646464646,0,0,0,0.00315656565656566,0,0,0.192550505050505,0.0441919191919192
"269",0.00802139037433155,0,0.00381970970206264,0,0.00420168067226891,0.00420168067226891,0.649732620320856,0.000381970970206264,0.000763941940412529,0.00381970970206264,0,0.000381970970206264,0,0.000763941940412529,0,0,0,0.000763941940412529,0.000381970970206264,0.00381970970206264,0,0.00381970970206264,0,0,0.0267379679144385,0,0,0.00381970970206264,0,0,0.152788388082506,0,0,0,0.00420168067226891,0,0.00878533231474408,0,0,0,0.0775401069518716,0.000381970970206264,0,0.0313216195569137,0.00954927425515661
